Vitamin,Cost,Source,Notes
"C2020 Micro Brushless Outrunner 3500kv 11g",8.20,"http://hobbyking.com",""
"DYS BLHeli 16A ESC",3.20,"http://hobbyking.com",""
"DasMikro Ultra Mini 8CH PPM Receiver",9.14,"http://www.banggood.com/FLYSKY-Ultra-Miniature-PPM-Signal-Output-8CH-Receiver-For-Multicopter-p-988175.html",""
"N20DCGearMotor",2.64,"http://cgi.ebay.co.uk/ws/eBayISAPI.dll?ViewItem&item=181946954392&var=481770476175","6V 200RPM version"
"O-Ring 2x10",0,"","No sources found"
"Stainless steel Flat Bar 6x1mm x 21mm",0,"","No sources found"
"Stainless steel Round Bar 2mm x 14mm",0,"","No sources found"
"TowerPro SG90 Driver",2.00,"www.ebay.co.uk",""
"Turnigy Nano-Tech 120mAh 2S 25C Lipo Pack E-Flite Compatible",5.99,"http://cgi.ebay.co.uk/ws/eBayISAPI.dll?ViewItem&item=331965220542",""
"624VV 4x13x6mm V Groove Sealed Ball Bearing",0.19,"http://cgi.ebay.co.uk/ws/eBayISAPI.dll?ViewItem&item=221317556825&var=520193870489",""
"M4 Nut",0.05,"","No sources found"
"M3 hex screw x 8mm",0.10,"","No sources found"
"M4 hex screw x 15mm",0.10,"","No sources found"
"M4 hex screw x 19mm",0.10,"","No sources found"
